0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
(12.151326060373066-152.79993526276849j)	(8.303344086722932+325.01335041424136j)	(-16.33408043293069-212.4532028788782j)	(-15.248236579154884+100.51557522511925j)	(5.418575679832778-39.87481170716932j)	(3.7465642333235407-26.146842115928468j)	(2.635620133796516+52.37355832438011j)	(-13.74530224757331-285.190705026411j)	(12.610899090392225+238.54487821739116j)	0j	0j	0j	0j	0j	0j	0j	0j	0j	(-3.248725073823699e-07+0.083666479098508j)	(0.02338248101760123+0.03316631933900969j)	(-0.023382890785075782+0.03316677741549218j)
(390.708445713358+107.3883233981984j)	(361.49790543695246-488.21830808206505j)	(-701.9631760537734+332.82160538538636j)	(5.418575679832779-39.87481170716932j)	(-16.587933943789306+107.07038504303137j)	(8.356440090239875-38.37915154550427j)	(-396.1036385024057-67.57317846844455j)	(-345.38026161342225+381.2346641703497j)	(693.583353362523-294.49712051409216j)	0j	0j	0j	0j	0j	0j	0j	0j	0j	(-0.023382890785075824+0.0331667774154922j)	(6.570945305361037e-07+0.08366676044792555j)	(0.023382601010536335+0.03316667421007726j)
(-399.8587334121312+2.26276046103116j)	(-350.72896469092285+163.88704909529466j)	(714.0061569086954-211.26872718736146j)	(3.7465642333235407-26.146842115928468j)	(8.356440090239873-38.37915154550427j)	(-17.748921582516775+98.64468622462087j)	(396.08878669779+23.8264153355583j)	(342.3959073714751-125.56256468207692j)	(-696.7162256506275+112.7015886735015j)	0j	0j	0j	0j	0j	0j	0j	0j	0j	(0.02338248101760122+0.0331663193390097j)	(-0.023382770792140777+0.03316713228655971j)	(6.570945305321538e-07+0.08366676044792554j)
(-15.248236579154884+100.51557522511925j)	(5.418575679832778-39.87481170716932j)	(3.7465642333235407-26.146842115928468j)	(18.977631825546048-153.0181918489129j)	(-6.2559099723353+59.41333984457826j)	(-3.913502912708499+38.05546840102149j)	(-4.112607469199139+52.69788460648101j)	(0.8373342925025223-19.56252813740894j)	(0.1669386793849581-11.92912628509302j)	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j
(5.418575679832779-39.87481170716932j)	(-16.587933943789306+107.07038504303137j)	(8.356440090239875-38.37915154550427j)	(-6.255909972335303+59.41733984457827j)	(21.28228161582526-164.79188692927414j)	(-10.044760998610537+58.4498841512715j)	(0.8373342925025233-19.562528137408947j)	(-5.082141549507439+57.91357841682363j)	(1.6883209083706614-20.09023260576723j)	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j
(3.7465642333235407-26.146842115928468j)	(8.356440090239873-38.37915154550427j)	(-17.748921582516775+98.64468622462087j)	(-3.913502912708499+38.05746840102149j)	(-10.044760998610535+58.4478841512715j)	(22.791725138232113-152.31189831211927j)	(0.16693867938495824-11.929126285093021j)	(1.688320908370661-20.09023260576723j)	(-5.423488480224667+53.84748245243627j)	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j
(2.635620133796516+52.37355832438011j)	(-13.74530224757331-285.190705026411j)	(12.610899090392225+238.54487821739116j)	(-4.112607469199139+52.69788460648101j)	(0.8373342925025223-19.56252813740894j)	(0.1669386793849581-11.92912628509302j)	(24.859454820555825-224.8374209800475j)	(-0.14527944742287424+363.4478519098557j)	(-14.176851948071967-204.57306068653622j)	(-23.662635560783453+119.90502607079503j)	(13.053247402493662-58.73611874603571j)	(1.3990141782947842-22.08319124576191j)	0j	0j	0j	0j	0j	0j	0j	0j	0j
(-396.1036385024057-67.57317846844455j)	(-345.38026161342225+381.2346641703497j)	(693.583353362523-294.49712051409216j)	(0.8373342925025233-19.562528137408947j)	(-5.082141549507439+57.91357841682363j)	(1.6883209083706614-20.09023260576723j)	(382.21305680740954+145.8268253518892j)	(378.13648309789244-569.0062406819402j)	(-711.0737790867171+364.54976893158374j)	(13.05324740249366-58.73611874603569j)	(-27.955034368077083+129.9923707899424j)	(15.802104815823414-49.99891581172436j)	0j	0j	0j	0j	0j	0j	0j	0j	0j
(396.08878669779+23.8264153355583j)	(342.3959073714751-125.56256468207692j)	(-696.7162256506275+112.7015886735015j)	(0.16693867938495824-11.929126285093021j)	(1.688320908370661-20.09023260576723j)	(-5.423488480224667+53.84748245243627j)	(-397.65473955546975+10.144902195296641j)	(-359.8863330956692+195.61321309956853j)	(726.0505202373382-273.21761475454247j)	(1.399014178294785-22.083191245761917j)	(15.802104815823412-49.99891581172436j)	(-24.189856528595108+106.7917723206358j)	0j	0j	0j	0j	0j	0j	0j	0j	0j
0j	0j	0j	0j	0j	0j	(-23.662635560783453+119.90502607079503j)	(13.053247402493662-58.73611874603571j)	(1.3990141782947842-22.08319124576191j)	(28.656370775473015-155.3061541000702j)	(-13.512161518418724+66.14764219740178j)	(-3.799413479704574+33.34069865965592j)	(-5.263988471057733+35.55160753109463j)	(0.45891411592506137-7.426023451366065j)	(2.4003993014097897-11.266507413894018j)	(-0.0010392304845413265-0.021939310229205783j)	0j	(0.0010392304845413265+0.021939310229205783j)	0j	0j	0j
0j	0j	0j	0j	0j	0j	(13.05324740249366-58.73611874603569j)	(-27.955034368077083+129.9923707899424j)	(15.802104815823414-49.99891581172436j)	(-13.510361518418723+66.18564219740176j)	(31.407247178003125-160.41159604798898j)	(-17.023542908298584+59.374505782343185j)	(0.45891411592506137-7.426023451366064j)	(-3.7279501070854377+30.533207342949225j)	(1.2214380924751713-9.390089970618833j)	(-0.0010392304845413265-0.021939310229205783j)	0j	(0.0010392304845413265+0.021939310229205783j)	0j	0j	0j
0j	0j	0j	0j	0j	0j	(1.399014178294785-22.083191245761917j)	(15.802104815823412-49.99891581172436j)	(-24.189856528595108+106.7917723206358j)	(-3.797613479704575+33.37369865965593j)	(-17.023542908298584+59.374505782343185j)	(29.382948036953138-141.46475923784516j)	(2.4003993014097897-11.266507413894017j)	(1.2214380924751715-9.390089970618831j)	(-5.469212287531422+34.786028568401754j)	(-0.0010392304845413265-0.021939310229205783j)	0j	(0.0010392304845413265+0.021939310229205783j)	0j	0j	0j
0j	0j	0j	0j	0j	0j	0j	0j	0j	(-5.263988471057733+35.55160753109463j)	(0.45891411592506137-7.426023451366065j)	(2.4003993014097897-11.266507413894018j)	(5.008048299002346-35.435919003381024j)	(-0.45891411592506137+7.418023451366065j)	(-2.4003993014097897+11.264507413894018j)	0j	0j	0j	0j	0j	0j
0j	0j	0j	0j	0j	0j	0j	0j	0j	(0.45891411592506137-7.426023451366064j)	(-3.7279501070854377+30.533207342949225j)	(1.2214380924751713-9.390089970618833j)	(-0.45891411592506137+7.418023451366064j)	(3.4660153759615904-30.414863215593897j)	(-1.2214380924751713+9.382089970618834j)	0j	0j	0j	0j	0j	0j
0j	0j	0j	0j	0j	0j	0j	0j	0j	(2.4003993014097897-11.266507413894017j)	(1.2214380924751715-9.390089970618831j)	(-5.469212287531422+34.786028568401754j)	(-2.4003993014097897+11.259507413894017j)	(-1.2214380924751715+9.382089970618832j)	(5.208221464581082-34.668497482651624j)	0j	0j	0j	0j	0j	0j
0j	0j	0j	0j	0j	0j	0j	0j	0j	(-0.0010392304845413265-0.021939310229205783j)	(0.0010392304845413265+0.021939310229205783j)	0j	0j	0j	0j	(-0.23462766439909294+0.11603628117913832j)	(-0.0006-0.012666666666666666j)	(-0.0006-0.012666666666666666j)	0j	0j	0j
0j	0j	0j	0j	0j	0j	0j	0j	0j	(-0.0010392304845413265-0.021939310229205783j)	(0.0010392304845413265+0.021939310229205783j)	0j	0j	0j	0j	(0.0012+0.025333333333333333j)	(-0.2364725903721108+0.07805356039952979j)	(-0.0006-0.012666666666666666j)	0j	0j	0j
0j	0j	0j	0j	0j	0j	0j	0j	0j	(-0.0010392304845413265-0.021939310229205783j)	(0.0010392304845413265+0.021939310229205783j)	0j	0j	0j	0j	(0.0012+0.025333333333333333j)	(-0.0006-0.012666666666666666j)	(-0.23850762222714542+0.07883626495915849j)	0j	0j	0j
(-3.248725073823699e-07+0.083666479098508j)	(0.02338248101760123+0.03316631933900969j)	(-0.023382890785075782+0.03316677741549218j)	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	(3.248725073823699e-07-0.083666479098508j)	(-0.02338248101760123-0.03316631933900969j)	(0.023382890785075782-0.03316677741549218j)
(-0.023382890785075824+0.0331667774154922j)	(6.570945305361037e-07+0.08366676044792555j)	(0.023382601010536335+0.03316667421007726j)	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	(0.023382890785075824-0.0331667774154922j)	(-6.570945305361037e-07-0.08366676044792555j)	(-0.023382601010536335-0.03316667421007726j)
(0.02338248101760122+0.0331663193390097j)	(-0.023382770792140777+0.03316713228655971j)	(6.570945305321538e-07+0.08366676044792554j)	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	0j	(-0.02338248101760122-0.0331663193390097j)	(0.023382770792140777-0.03316713228655971j)	(-6.570945305321538e-07-0.08366676044792554j)
